"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"gene0001"	43.5515899491339	0.729370213151349	0.349475984373039	0.00808271713939711	0.0483263958694884
"gene0002"	41.7920658582116	-0.051967389387249	0.273082040966379	0.809501753603348	0.904728604505425
"gene0003"	22.3805519241759	0.187481528121485	0.336685351488643	0.421567864520116	0.689959493255441
"gene0004"	76.9875578101426	0.12755720858036	0.231248663182777	0.522079503121287	0.759284361369234
"gene0005"	10.6446802548732	0.512279482349904	0.552824901225237	0.0806425629877031	0.260166734066536
"gene0006"	9.0044202072983	1.15994529301201	0.844439876971933	0.0115559814182031	0.064629098324838
"gene0007"	10.9176452598314	0.157782197326183	0.367758084688692	0.491454795032866	0.738817944557412
"gene0008"	20.9001528338373	0.201208316541916	0.341509108727425	0.397813840639036	0.672142293518324
"gene0009"	11.2125574603012	0.0184308437185981	0.354594082454102	0.935050149280078	0.968618546938936
"gene0010"	1.46666386769168	-0.00558473192742303	0.430381522831792	0.963676110290476	NA
"gene0011"	12.3550262722403	1.2168394748321	0.629139438468106	0.00471923160164885	0.0329346068191519
"gene0012"	4.40243362850856	0.0955121967042738	0.413577450417141	0.599230799217816	NA
"gene0013"	14.1443690662853	1.5797940054633	0.619307231042749	0.000795605374963504	0.00757918804570496
"gene0014"	1.01506223959022	0.108978865037585	0.45533358879921	0.323568298345686	NA
"gene0015"	3.28356822185208	0.0260045925476048	0.409250812480142	0.880092738514826	NA
"gene0016"	9.93279639247713	0.557157274568395	0.586770253211205	0.0627276218698666	0.21910648270685
"gene0017"	6.32979026744765	0.0812264664889309	0.392828924962564	0.685791170550947	NA
"gene0018"	2.93648983104616	0.0626832141541861	0.421631477906868	0.688568186834881	NA
"gene0019"	18.7376086602734	0.249398003610116	0.362018866974508	0.300088722268482	0.575603705237522
"gene0020"	18.7758864927405	0.0963897773183793	0.317000738325387	0.673083579294997	0.834188064489698
"gene0021"	0.146069693687729	0.0213706207431958	0.448759897840456	0.987322827148718	NA
"gene0022"	10.1691689634461	0.443984562809452	0.529241068112891	0.107639298286145	0.313318483753969
"gene0023"	6.7772441747246	0.0109437360273851	0.384853774326566	0.958359277440918	NA
"gene0024"	6.92905749259271	-0.0269516141921564	0.378053361092609	0.894035576984516	NA
"gene0025"	3.56911184206401	0.115940278113149	0.424553192891706	0.516443702095566	NA
"gene0026"	3.46313524975731	0.085622750912411	0.420382962764542	0.615981736950125	NA
"gene0027"	1.32403597871232	-0.0720688117405027	0.439727300143383	0.549376023577336	NA
"gene0028"	0.73066325140413	-0.0703701804113488	0.447963918679449	0.456749654071719	NA
"gene0029"	1.42978113117738	0.018747098066716	0.430940525885189	0.880217768051562	NA
"gene0030"	0.259015075913167	-0.0168913226913258	0.446331702518856	0.778858365987595	NA
"gene0031"	5.11799797744663	-0.375692054266589	0.558440812846048	0.112831129290994	NA
"gene0032"	2.60115978224608	0.0847372964381685	0.431690744113364	0.562060916386388	NA
"gene0033"	1.85959219861162	0.0839940468677751	0.436402008406865	0.540714789768723	NA
"gene0034"	0.859874462044266	0.136796311001819	0.472146967229919	0.163761314437212	NA
"gene0035"	7.36062923143479	0.391436630435197	0.535756726893602	0.123945997921469	0.341795681248817
"gene0036"	13.2387269488972	-0.105380365672213	0.343457435602471	0.639585029646574	0.816814492640365
"gene0037"	1.35642883616886	0.0939790944827163	0.44625380013445	0.441168296657298	NA
"gene0038"	7.58270800140546	-0.216916130221987	0.4175418872688	0.331906064794559	0.60681815886682
"gene0039"	86.2182893397711	1.14199700786591	0.303486997842719	2.05259270588383e-05	0.000298300151636111
"gene0040"	2.72369282876139	0.0678592481851274	0.421977784822917	0.675915640313175	NA
"gene0041"	20.4383561440427	-0.191392639747462	0.343696055104506	0.413482971209593	0.684992211494632
"gene0042"	3.48217388466433	0.216369730882963	0.471781200820734	0.243672945883682	NA
"gene0043"	2.05984347304495	-0.0361948402950947	0.425342121881671	0.797608820497094	NA
"gene0044"	10.1349780755241	0.00755995105227833	0.35250785874935	0.974313263260035	0.989723319974862
"gene0045"	3.99582632148782	-0.0660988039864732	0.407300150252585	0.712246327637924	NA
"gene0046"	2.42072966873874	0.105747755894237	0.43410762758294	0.49770704812262	NA
"gene0047"	3.68903414741582	0.110834140155539	0.426145665586863	0.515041542367745	NA
"gene0048"	2.4612341107617	-0.000322287902537066	0.416813158522657	0.996910485847456	NA
"gene0049"	12.1953758787132	-0.129051890971577	0.369367977023924	0.563475808425396	0.782889277442403
"gene0050"	1.37121045165246	-0.0503501795478207	0.436028132021324	0.672958128246187	NA
"gene0051"	1.46540179065525	-0.0833214330873311	0.441993243812489	0.490403505522525	NA
"gene0052"	0.227628717748432	0.0343968549190465	0.44927439649695	0.794898668329212	NA
"gene0053"	3.50034090244473	-0.000324813360926301	0.407373977343038	0.996824847018782	NA
"gene0054"	2.31734781950223	0.11738521917988	0.442428015112499	0.434604067552395	NA
"gene0055"	5.40070125403157	-0.060017162874101	0.395026395802591	0.753312649212586	NA
"gene0056"	1.24203334289907	0.0106362840154995	0.431853492841386	0.930478753987993	NA
"gene0057"	1.68213614675916	0.120919658236701	0.450658268088665	0.355857699574845	NA
"gene0058"	0.455257435496865	0.0675328981788065	0.453068842241115	0.468797674823336	NA
"gene0059"	1.56761182470231	-0.0621323709947536	0.434331570744999	0.635585407217172	NA
"gene0060"	4.50805136537724	-0.16870478169642	0.430166851131238	0.387824333395479	NA
"gene0061"	2.7702078498838	-0.185998982599042	0.460996327308575	0.280455150866255	NA
