locus_tag	Control1	Control2	Control3	Treatment1	Treatment2	Treatment3
gene0001	12	25	34	63	88	90
gene0002	17	54	32	42	65	67
gene0003	14	14	15	34	37	30
gene0004	29	71	72	102	105	144
gene0005	0	8	9	14	24	26
gene0006	2	2	5	11	27	21
gene0007	5	9	8	13	15	27
gene0008	4	25	16	20	38	48
gene0009	6	16	4	11	13	28
gene0010	0	3	1	0	3	4
gene0011	3	6	5	21	22	40
gene0012	3	3	2	3	11	7
gene0013	5	5	3	29	26	40
gene0014	0	1	0	2	1	5
gene0015	2	2	3	4	4	7
gene0016	6	4	3	17	16	25
gene0017	3	7	3	10	11	7
gene0018	3	1	1	2	6	6
gene0019	12	10	12	21	36	34
gene0020	9	19	13	22	25	41
gene0021	0	0	0	1	0	0
gene0022	0	13	4	14	20	28
gene0023	0	5	12	8	9	14
gene0024	3	6	8	4	10	17
gene0025	0	3	4	4	8	7
gene0026	1	6	0	6	4	8
gene0027	1	2	1	2	0	2
gene0028	0	1	2	0	0	2
gene0029	1	2	0	2	1	4
gene0030	0	1	0	0	0	1
gene0031	2	5	11	3	2	9
gene0032	2	0	2	4	6	2
gene0033	1	2	0	4	2	4
gene0034	0	0	0	1	4	2
gene0035	1	2	8	7	15	25
gene0036	8	15	10	15	14	24
gene0037	0	1	1	0	3	7
gene0038	4	11	7	10	4	12
gene0039	25	31	61	140	172	205
gene0040	0	5	1	3	4	8
gene0041	10	14	30	27	13	39
gene0042	1	4	0	5	6	11
gene0043	2	1	2	1	1	7
gene0044	4	10	10	11	12	23
gene0045	3	5	2	4	5	6
gene0046	1	1	2	3	5	5
gene0047	3	3	0	7	5	6
gene0048	1	3	2	2	2	8
gene0049	5	13	15	14	4	34
gene0050	1	3	0	0	2	3
gene0051	2	1	1	2	0	2
gene0052	0	0	0	1	0	1
gene0053	2	3	3	2	7	6
gene0054	0	4	0	2	6	6
gene0055	4	6	3	7	7	6
gene0056	0	1	2	2	1	3
gene0057	1	1	0	4	2	4
gene0058	0	0	0	2	0	2
gene0059	0	1	4	1	1	4
gene0060	3	5	5	2	6	7
gene0061	2	4	3	2	1	5
gene0062	3	10	4	8	4	15
gene0063	1	2	4	1	7	15
gene0064	2	1	5	4	4	4
gene0065	2	3	4	3	3	8
gene0066	4	4	2	3	5	7
gene0067	13	17	25	18	22	39
gene0068	2	4	4	6	2	1
gene0069	4	9	5	8	15	13
gene0070	13	26	33	35	7	48
gene0071	5	7	16	33	33	38
gene0072	1	1	0	1	3	5
gene0073	0	1	0	0	0	0
gene0074	2	2	1	14	1	6
gene0075	0	3	3	1	1	4
gene0076	1	0	0	1	0	2
gene0077	3	8	8	16	6	27
gene0078	1	2	1	4	0	7
